Model;Wordcount
Gemini Flash V2.5;257
Gemini Flash V2.5;264
Gemini Flash V2.5;233
Gemini Flash V2.5;290
Gemini Flash V2.5;217
Gemini Flash V2.5;275
Gemini Flash V2.5;205
Gemini Flash V2.5;237
Gemini Flash V2.5;254
Gemini Flash V2.5;289
Deepseek R1;196
Deepseek R1;193
Deepseek R1;184
Deepseek R1;191
Deepseek R1;216
Deepseek R1;229
Deepseek R1;249
Deepseek R1;218
Deepseek R1;242
Deepseek R1;179
Deepseek V3;196
Deepseek V3;183
Deepseek V3;198
Deepseek V3;184
Deepseek V3;149
Deepseek V3;178
Deepseek V3;167
Deepseek V3;184
Deepseek V3;167
Deepseek V3;177
GROK 3;120
GROK 3;135
GROK 3;117
GROK 3;134
GROK 3;137
GROK 3;127
GROK 3;123
GROK 3;114
GROK 3;111
GROK 3;105
GROK 3 Mini;195
GROK 3 Mini;311
GROK 3 Mini;195
GROK 3 Mini;218
GROK 3 Mini;266
GROK 3 Mini;187
GROK 3 Mini;173
GROK 3 Mini;213
GROK 3 Mini;259
Claude 3.7 Sonnet;237
Claude 3.7 Sonnet;247
Claude 3.7 Sonnet;414
Claude 3.7 Sonnet;245
Claude 3.7 Sonnet;241
Claude 3.7 Sonnet;239
Claude 3.7 Sonnet;250
Claude 3.7 Sonnet;272
Claude 3.7 Sonnet;224
Claude 3.7 Sonnet;234
GPT o4 Mini;213
GPT o4 Mini;210
GPT o4 Mini;233
GPT o4 Mini;228
GPT o4 Mini;200
GPT o4 Mini;240
GPT o4 Mini;214
GPT o4 Mini;318
GPT 4O Mini;347
GPT 4O Mini;332
GPT 4O Mini;378
GPT 4O Mini;345
GPT 4O Mini;311
GPT 4O Mini;294
GPT 4O Mini;356
GPT 4O Mini;353
GPT 4O Mini;277
GPT 4O Mini;391
Mistral Medium;296
Mistral Medium;274
Mistral Medium;295
Mistral Medium;296
Mistral Medium;336
Mistral Medium;410
Mistral Medium;318
